,,
.,.,.
1 Month 20Feb,99.84,1.62
2 Month 19Mar,99.71,1.62
3 Month 16Apr,99.59,1.61
.,.,.
1 Year 07Jan,98.38,1.68
.,.,.
2 Year,99.69,1.65
5 Year,99.51,1.61
10 Year,105.64,1.60
30 Year,123.78,1.70
.,.,.
Alberta 1.25/Jun20,99.80,1.77
Ontario Prov 4.2/Jun20,100.92,1.75
Manitoba 1.55/Sep21,99.62,1.79
Ontario Prov 1.35/Mar22,99.00,1.83
NewBrunswick 1.55/May22,99.33,1.85
Ontario Prov 9.5/Jul22,118.52,1.87
Ontario Prov 2.85/Jun23,103.17,1.88
Newfoundland 2.3/Jun25,100.86,2.13
Ontario Prov 2.6/Jun25,102.97,2.01
BC Prov 2.3/Jun26,101.64,2.03
Alberta 2.55/Jun27,102.40,2.20
Nova Scotia 2.1/Jun27,99.70,2.14
Ontario Prov 2.6/Jun27,103.17,2.13
BC Prov 2.55/Jun27,103.24,2.08
NewBrunswick 2.35/Aug27,100.98,2.21
.,.,.
Cdn Natl Res 2.05/Jun20,99.99,2.06
Cdn Westn Bk 2.751/Jun20,100.36,1.95
RioCan REIT 2.185/Aug20,100.06,2.08
Enbridge Inc 3.16/Mar21,101.04,2.24
Bell CDA 2.0/Oct21,99.84,2.10
Brookfld Prpty Corp 4.115/Oct21,102.92,2.41
Telus Corp 2.35/Mar22,100.45,2.14
CIBC 2.3/Jul22,100.58,2.06
TD Bank 1.909/Jul23,99.33,2.11
Bell CDA 2.7/Feb24,101.12,2.41
Brookfld Prpty Corp 4.3/Mar24,104.41,3.15
BNS 2.29/Jun24,100.67,2.13
Bell CDA 2.75/Jan25,101.15,2.51
CIBC Cap Tr 10.25/Jun39,118.05,8.36
TD Cap Tr 10.0/Jun39,117.28,8.21
